"id","item_id","title","category","subcategory","price","city","url"
1,"","Креветки Королевские 26/30 очищенные","moreprodukty","krevetki","5 290 Т","","/moreprodukty/krevetki/krevetka-korolevskaya-2630-ochischennaya/"
2,"","Креветка Королевская 31/40 очищенная","moreprodukty","krevetki","5 900 Т","","/moreprodukty/krevetki/krevetka-korolevskaya-ochischennaya-31-40/"
3,"","Лангустины в панцире с головой, размер 21-30","moreprodukty","krevetki","6 500 Т","","/moreprodukty/krevetki/langustiny-v-pancire-s-golovoy-razmery-21-30/"
4,"","Креветка Королевская  21/25, в панцире без головы","moreprodukty","krevetki","5 500 Т","","/moreprodukty/krevetki/krevetka-korolevskaya-2125-v-pancire-bez-golovy/"
5,"","Чука салат замороженный","moreprodukty","krevetki","2 800 Т","","/bakaleya/aziatskaya-kuhnya/vodorosli/chuka-salat-zamorozhenniy/"
6,"","Креветка Арктическая, 70/90,  Гренландия","moreprodukty","krevetki","6 700 Т","","/moreprodukty/krevetki/krevetka-arkticheskaya-7090-grenlandiya/"
7,"","Креветка Ваннамей 16/20 в панцире б/г ","moreprodukty","krevetki","5 700 Т","","/moreprodukty/krevetki/krevetka-tigrovaya-1620-v-pancire/"
8,"","Лангустины в Панцире с головой, размер 10-20","moreprodukty","krevetki","7 200 Т","","/moreprodukty/krevetki/langustiny-v-pancire-s-golovoy-razmer-10-20/"
9,"","Креветка  Салатная 100/200, глазурь 40%","moreprodukty","krevetki","3 900 Т","","/moreprodukty/krevetki/krevetka-salatnaya-100-200/"
10,"","Креветка Северная, 90/120,  Гренландия","moreprodukty","krevetki","3 990 Т","","/moreprodukty/krevetki/krevetka-severnaya-90-120-grenlandiya/"
11,"","Лангустины в панцире без головы, размер 30 - 50, уп. 2 кг","moreprodukty","krevetki","6 500 Т","","/moreprodukty/krevetki/langustiny-v-pancire-bez-golovy-razmer-30-55/"
12,"","Креветка Тигровая 8/12  с головой","moreprodukty","krevetki","14 500 Т","","/moreprodukty/krevetki/krevetka-tigrovaya-812-s-golovoy/"
13,"","Креветка Королевская Блочная, в панцире 21/25","moreprodukty","krevetki","15 000 Т","","/moreprodukty/krevetki/krevetka-korolevskaya-blochnaya-v-pancire-21-25/"
14,"","Креветка Risma Премиум глазурь 7%","moreprodukty","krevetki","6 000 Т","","/moreprodukty/krevetki/krevetka-salatnaya-premium-glazur-7/"
15,"","Конечности Камчатского Краба 4L","moreprodukty","kraby","24 000 Т","","/moreprodukty/kraby/konechnosti-kamchatskogo-kraba-4l/"
16,"","Мясо краба, 1я фаланга, блок весом 1 -1,5 кг","moreprodukty","kraby","35 000 Т","","/moreprodukty/kraby/myaso-kraba-1ya-falanga-blok-vesom-1-1-5-kg/"
17,"","Мясо Краба Салатное (кусочками)","moreprodukty","kraby","17 500 Т","","/moreprodukty/kraby/myaso-kraba-salatnoe-kusochkami/"
18,"","Краб Приморский в собственном соку","moreprodukty","kraby","17 500 Т","","/moreprodukty/kraby/krab-primorskiy-v-sobstvennom-soku/"
19,"","Краб Натуральный в собственном соку","moreprodukty","kraby","48 000 Т","","/moreprodukty/kraby/krab-naturalniy-v-sobstvennom-soku/"
20,"","Устрицы Gillardeau №2 ","moreprodukty","ustricy","1 790 Т","","/moreprodukty/ustricy/ustricy-gillardeau-2/"
21,"","Устрицы Ostra Regal  #2","moreprodukty","ustricy","2 100 Т","","/moreprodukty/ustricy/ustricy-ostra-regal-2/"
22,"","Устрицы Fin De Claire №2 Marine","moreprodukty","ustricy","1 400 Т","","/moreprodukty/ustricy/ustricy-fin-de-claire-2/"
23,"","Устрицы Tarbouriech","moreprodukty","ustricy","2 400 Т","","/moreprodukty/ustricy/ustricy-tarbouriech/"
24,"","Устрицы Fine de Claire Selection Marine #3","moreprodukty","ustricy","1 100 Т","","/moreprodukty/ustricy/ustricy-fine-de-claire-selection-marine-3/"
25,"","Устрицы La Belle №2","moreprodukty","ustricy","1 490 Т","","/moreprodukty/ustricy/ustricy-la-belle-2/"
26,"","Устрицы №2 Царская","moreprodukty","ustricy","1 600 Т","","/moreprodukty/ustricy/ustricy-2-carskaya/"
27,"","Гребешок Risma 10/20 глазурь 7%","moreprodukty","grebeshok","13 500 Т","","/moreprodukty/grebeshok/grebeshok-risma-1020-glazur-7/"
28,"","Гребешок 10/20, глазурь 25%","moreprodukty","grebeshok","6 800 Т","","/moreprodukty/grebeshok/grebeshok-1020-glazur-25/"
29,"","Гребешок Морской на раковине с икрой 12/16","moreprodukty","grebeshok","7 600 Т","","/moreprodukty/grebeshok/grebeshok-morskoy-na-rakovine-s-ikroy-1020/"
30,"","Гребешок на Створке","moreprodukty","grebeshok","4 500 Т","","/moreprodukty/grebeshok/grebeshok-na-stvorke/"
31,"","Мидии в раковине 40-60 закрытые","moreprodukty","midii","4 800 Т","","/moreprodukty/midii/midii-v-rakovine-40-60-zakrytye/"
32,"","Мидии на раковине Киви 40/60,  Новая Зеландия","moreprodukty","midii","5 400 Т","","/moreprodukty/midii/midii-na-rakovine-kivi-4060-novaya-zelandiya/"
33,"","Мясо Мидий очищенное","moreprodukty","midii","3 000 Т","","/moreprodukty/midii/myaso-midiy-ochischennoe/"
